,song_state,song_artist,song_name,uris,duration_ms,popularity,date
143,New York,Angie Martinez,"New York, New York",spotify:track:1efRLTkvwsMGogD2hwbTJj,271440,0,2019-10-08
144,New York,Barbra Streisand,New York State of Mind,spotify:track:5ZHJU2gFTHjWGwl9EURvRA,286493,35,2014-09-10
145,New York,Ryan Adams,"New York, New York",spotify:track:4snBTILMGyRKErKygwoDkE,226693,48,2001-01-01
146,New York,Wyclef Jean,Heaven's in New York,spotify:track:334Zzy4YSlWezl8Y02fxEJ,287506,24,2007-11-23
147,New York,Joan Armatrading,Heading Back To New York City,spotify:track:1L0zKjcupi0D7hPIn4PssN,350863,5,2011-02-22
148,New York,Tanya Tucker,New York City Song,spotify:track:4UyvzWdo3RBMMTebmqBufv,148133,11,1972-04-19
149,New York,George Michael,Crazy Man Dance,spotify:track:5UOkz2bU1PO6GzzTir8Yiw,360949,29,2017-10-20
150,New York,王宝强,Happy 扭腰(Live),error,error,error,error
151,New York,Frank Zappa,Billy the Mountain,spotify:track:6gqOppZZDrjOf5XK3nGHZe,1481800,16,1972-03-26
152,New York,Paloma San Basilio,"New York, New York",spotify:track:0602at9AFlQdhE68nGnSaH,196360,24,2014-11-18
153,New York,The Knocks,New York City,spotify:track:1w9LdiYjkBm2THRIT0IWQo,187306,25,2016-03-04
154,New York,Saint Motel,Local Long Distance Relationship (L.A2NY),spotify:track:5IzGDVmi0oAb71kuTrIRbI,201200,43,2016-10-21
155,New York,Reel Big Fish,"New York, New York",spotify:track:0K1fNhZL5YY2vc0HVxzDwF,205573,20,2002-06-25
156,New York,Reel Big Fish,"New York , New York",spotify:track:0K1fNhZL5YY2vc0HVxzDwF,205573,20,2002-06-25
157,New York,Pet Shop Boys,New York City Boy [Lange RMX],error,error,error,error
158,New York,Liza Minnelli,I Happen to Like New York,error,error,error,error
159,New York,Lana Del Rey,Diet Mountain Dew,spotify:track:4O9dZs2B0ilk4PEfX2bPEv,222920,53,2012-11-12
160,New York,Christopher Cross,Arthur's Theme (Best That You Can Do),spotify:track:5fnOrhQ4KgT5irGCjIccGH,234493,69,1981
161,New York,Guru,Serious Rap Shit,error,error,error,error
162,New York,Westside Connection,All the Critics in New York,spotify:track:5OVwhkh2Fb0h4oXmSQ6P72,334666,32,1996-10-22
163,New York,Westside Connection,All the Critics in New York [Edited],error,error,error,error
164,New York,Slapshot,Fuck New York,spotify:track:4neFWvChTBTF5MEPMk88Pn,200946,22,2005-02-15
165,New York,Armand Van Helden,NYC Beat,spotify:track:069AUXV0Kj2wSnfhgcFh6G,390440,17,2007-04-26
166,New York,Frank Sinatra,Autumn in New York,spotify:track:2P08TIRaL1PnIHbbDnCIwt,277626,31,1958
167,New York,The Beach Boys,The Girl from New York City,spotify:track:3wwIwGRKe7IQHEj6LLZpQB,116400,25,1965-07-05
168,New York,Bob Marley,Cocaine in My Brain,error,error,error,error
169,New York,James Richie,Cocaine in My Brain,error,error,error,error
170,New York,Black 47,"New York, NY 10009",spotify:track:0cGijMn4fdslb5mqALdcfs,269583,6,1993-01-01
171,New York,Tim Flavin,Opening/New York! New York!,spotify:track:7wRJ8vZZtO8YyuqWOaRGO6,376240,0,2017-06-30
172,New York,Tyler Hilton,New York Can Wait,spotify:track:5K9tVY7A3qe71JDGuZC6dJ,187666,8,2000
