,Unnamed: 0,city,state,artist,song,uris,popularity,date,error,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
297,297,Davenport,Iowa,Johnny Cash,Big River,spotify:track:6tSlcd8gcp3XGstYNhL3It,54,2014-01-15,,0.632,0.559,5.0,-10.49,1.0,0.0674,0.854,0.000103,0.127,0.884,182.942,audio_features,6tSlcd8gcp3XGstYNhL3It,spotify:track:6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/tracks/6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/audio-analysis/6tSlcd8gcp3XGstYNhL3It,151427.0,4.0
298,298,Davenport,Iowa,Johnny Cash,Big River [Count De Money Remix; Version],error,error,error,,,,,,,,,,,,,,,,,,,
299,299,Davenport,Iowa,Lynn Anderson,I've Been Everywhere,spotify:track:4MqcS6CT8SO8moKoxAzrDp,29,2008-01-08,,0.592,0.92,2.0,-5.022,1.0,0.216,0.446,0.0,0.971,0.68,112.494,audio_features,4MqcS6CT8SO8moKoxAzrDp,spotify:track:4MqcS6CT8SO8moKoxAzrDp,https://api.spotify.com/v1/tracks/4MqcS6CT8SO8moKoxAzrDp,https://api.spotify.com/v1/audio-analysis/4MqcS6CT8SO8moKoxAzrDp,135400.0,4.0
300,300,Davenport,Iowa,Asleep at the Wheel,I've Been Everywhere,spotify:track:4DXL08BfkTPTFOsrUzqQRN,4,1973-01-01,,0.572,0.45,4.0,-14.486,1.0,0.11,0.666,0.0,0.0904,0.934,112.204,audio_features,4DXL08BfkTPTFOsrUzqQRN,spotify:track:4DXL08BfkTPTFOsrUzqQRN,https://api.spotify.com/v1/tracks/4DXL08BfkTPTFOsrUzqQRN,https://api.spotify.com/v1/audio-analysis/4DXL08BfkTPTFOsrUzqQRN,167480.0,3.0
301,301,Davenport,Iowa,Johnny Cash,Big River,spotify:track:6tSlcd8gcp3XGstYNhL3It,54,2014-01-15,,0.632,0.559,5.0,-10.49,1.0,0.0674,0.854,0.000103,0.127,0.884,182.942,audio_features,6tSlcd8gcp3XGstYNhL3It,spotify:track:6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/tracks/6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/audio-analysis/6tSlcd8gcp3XGstYNhL3It,151427.0,4.0
302,302,Davenport,Iowa,Asleep at the Wheel,Big River,spotify:track:30NiHTLSnqPCiFi0ltID5B,11,2018-09-14,,0.748,0.733,2.0,-7.531,1.0,0.0555,0.624,1e-05,0.107,0.911,112.951,audio_features,30NiHTLSnqPCiFi0ltID5B,spotify:track:30NiHTLSnqPCiFi0ltID5B,https://api.spotify.com/v1/tracks/30NiHTLSnqPCiFi0ltID5B,https://api.spotify.com/v1/audio-analysis/30NiHTLSnqPCiFi0ltID5B,186320.0,4.0
303,303,Davenport,Iowa,Naughty by Nature,Chain Remains,spotify:track:38Wi64SwJHAKvyea9ASkcO,33,1995-05-30,,0.782,0.799,10.0,-6.438,0.0,0.288,0.149,3.24e-06,0.207,0.703,93.77,audio_features,38Wi64SwJHAKvyea9ASkcO,spotify:track:38Wi64SwJHAKvyea9ASkcO,https://api.spotify.com/v1/tracks/38Wi64SwJHAKvyea9ASkcO,https://api.spotify.com/v1/audio-analysis/38Wi64SwJHAKvyea9ASkcO,273200.0,4.0
304,304,Davenport,Iowa,Johnny Cash,Big River [Live],spotify:track:4BDHIpKyhoccMFODzB3mZC,26,1969-06-05,,0.59,0.777,0.0,-8.758,1.0,0.148,0.632,0.0,0.974,0.946,121.115,audio_features,4BDHIpKyhoccMFODzB3mZC,spotify:track:4BDHIpKyhoccMFODzB3mZC,https://api.spotify.com/v1/tracks/4BDHIpKyhoccMFODzB3mZC,https://api.spotify.com/v1/audio-analysis/4BDHIpKyhoccMFODzB3mZC,103307.0,4.0
305,305,Davenport,Iowa,Johnny Cash,Big River [DVD],error,error,error,,,,,,,,,,,,,,,,,,,
306,306,Davenport,Iowa,Johnny Cash,Big River,spotify:track:6tSlcd8gcp3XGstYNhL3It,54,2014-01-15,,0.632,0.559,5.0,-10.49,1.0,0.0674,0.854,0.000103,0.127,0.884,182.942,audio_features,6tSlcd8gcp3XGstYNhL3It,spotify:track:6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/tracks/6tSlcd8gcp3XGstYNhL3It,https://api.spotify.com/v1/audio-analysis/6tSlcd8gcp3XGstYNhL3It,151427.0,4.0
