state,city,song,artist,uris,duration_ms,popularity,date
Texas,Galveston,Darling I Need You,John Cale,spotify:track:7Bj6y66Vu8a9RUUn5R9w2S,216493,8,1996-01-01
Texas,Galveston,Galveston,Jimmy Webb,spotify:track:123AbRkgDfAW6snTJ39RgM,229360,18,2012-01-01
Texas,Galveston,Pecos Promenade,Tanya Tucker,spotify:track:3HpYLawc8BRy6WYttM8c6Q,149866,26,2000-01-01
California,Garden Grove,Garden Grove,"Sublime, covered  Camper Van Beethoven",spotify:track:5tFpkuwgFZQm3jv4PTX4VB,261386,60,1996-07-30
California,Garden Grove,Home Again Garden Grove,The Mountain Goats,spotify:track:7ePQe8bp9T43tQ57k6MISd,195160,24,2004-02-02
Indiana,Gary,2300 Jackson Street  The Jacksons,,spotify:track:0D9nwHBjQMkkRU2sVnkSKU,305680,30,1989-05-28
Indiana,Gary,"Gary, Indiana",from The Music Man,spotify:track:78tkNWoW2o2mJbTPLofZ9y,92240,0,2015-01-02
North Carolina,Greensboro,88 Seconds in Greensboro,Orchestral Manoeuvres in the Dark,spotify:track:3h8dVtvsLgJp8PvJcPEpOw,255933,20,1985-06-17
New Jersey,Hackensack,Hackensack,Fountains of Wayne,spotify:track:11PUdjgVfGEZLG9zs9UeTp,180093,47,2003-01-01
Michigan,Holland,Holland,Sufjan Stevens,spotify:track:3pujvaVvZRu8VO5LZvxAXq,206373,41,2003-07-01
Hawaii,Honolulu,Honolulu City Lights,Keola Beamer and Kapono Beamer,spotify:track:7p7wUyiSlKhbBj6a4W5JQJ,203960,34,1979-06-09
Hawaii,Honolulu,Honolulu Lulu,Jan and Dean,spotify:track:5stfCnP5f0oXkCUYRLGMI8,133800,19,2010-01-01
Illinois,Highland,"Concerning the UFO Sighting near Highland, Illinois",Sufjan Stevens,spotify:track:2Swpr4UiCfYUl1wbxrduBs,128986,50,2005-07-05
Texas,Houston,Bloody Mary Morning,Willie Nelson,spotify:track:5paRS95sOPkOVQlmUIUF4B,168933,47,1974
Texas,Houston,Dixie On My Mind,Hank Williams Jr.,spotify:track:2IHWabwhSEdpB5XEhaz9zx,156106,50,1981
Texas,Houston,Dracula From Houston,Butthole Surfers,spotify:track:4KJKj7GZLzxq1bXRu0XP6l,222706,43,2001-08-28
Texas,Houston,Houston,R.E.M.,spotify:track:5L1BH2YPxvDY2zDHjY5bJ9,125120,25,2008-01-01
Texas,Houston,Houston,Lee Hazlewood,spotify:track:2t2x5pZ6P6zQJffHueY0zm,159093,7,1965-06-15
Texas,Houston,Houston,Soul Coughing,spotify:track:4mBOvyGHkpb8ss1TMIN6IK,243640,24,1998-09-29
Texas,Houston,Houston (Means I'm One Day Closer to You),Larry Gatlin & The Gatlin Brothers,spotify:track:5rTzROLwNJMABN7pp6YMQq,188933,30,2007-09-12
Texas,Houston,Houston,Dean Martin,spotify:track:4CKqqKUKsjNTTNF3veSiWi,161066,37,2014-10-10
Texas,Houston,Houston Heights,Blue October,spotify:track:4OiaI39V24dqOkfKWPWNWY,196612,24,2016-04-22
Texas,Houston,Midnight Special,Lead Belly,spotify:track:2WaxBL2VVPUHqtfQE1yLbF,185520,40,2003-05-05
Texas,Houston,Houston Town'  Buddy Ace,,error,185520,40,2003-05-05
Texas,Houston,Telephone Road,Rodney Crowell,spotify:track:3YiWmnGPzosGgx33XnKZC1,232840,26,2001
Texas,Houston,Telephone Road,Steve Earle,spotify:track:1rjvVnu5bMrKKGKLTJOYrJ,222866,40,1997-09-26
Texas,Houston,Uneasy Rider '88,the Charlie Daniels Band,spotify:track:59yEymxln8Hyuz8XNkUTIX,264373,54,1988
Texas,Houston,Welcome 2 Houston,Slim Thug and The Texas All Stars,spotify:track:2RPRHTcZoWLtFY3xJ00CYQ,537813,48,2009-03-24
Texas,Houston,Welcome to H-Town,Lecrae ft. Dre Murray,spotify:track:32pi4R434sfXcicxJN4Jsa,288000,35,2012-10-25
Texas,Houston,Won't Let You Down Texas,Chamillionaire,spotify:track:3Yd8ejd801K1suN0jT8DO1,1080300,17,2008-01-01
Indiana,Indianapolis,Indianapolis,Menudo,spotify:track:4pRlsUjy1UnGl0ggBb87jq,213560,10,1998-07-28
Indiana,Indianapolis,Mary Jane's Last Dance,Tom Petty,spotify:track:3dmqIB2Qxe2XZobw9gXxJ6,273600,73,2008-05-20
Mississippi,Jackson,Jackson Mississippi,Kid Rock,spotify:track:4SXMRJugy8ifYJdoS9cXGg,270106,46,2003-11-11
Mississippi,Jackson,Jackson,"Johnny Cash & June Carter, Nancy Sinatra & Lee Hazlewood",spotify:track:5fcxVCOtfesNzI2n4Y4kiJ,165826,63,1967-08-01
Mississippi,Jackson,Jackson Ain't a Very Big Town,Norma Jean,spotify:track:1lSQAqjtsZDxHeqfb0lzEN,151106,1,2018-11-16
Florida,Jacksonville,Indigo Flow,Limp Bizkit,spotify:track:1XkTsmGEThbTQRQpB5byLU,143333,34,1997-01-01
Florida,Jacksonville,Ocean Avenue,Yellowcard,spotify:track:23oxJmDc1V9uLUSmN2LIvx,198266,72,2003-01-01
Florida,Jacksonville,The South's Gonna Do It,The Charlie Daniels Band,spotify:track:7HRqpMkcCVVhmKme8bScvl,237426,56,1973
Illinois,Jacksonville,Jacksonville,Sufjan Stevens,spotify:track:1ZHLEKW4rXRaDJESAX7CR8,324720,48,2005-07-05
North Carolina,Jacksonville,Jacksonville Skyline,Whiskeytown,spotify:track:3OYH2OCLzjGm9kyyTHB2ZX,180960,42,2001-05-22
