,state,city,song,artist
310, New York,New York City,Big Apple Jam,Manhattan Jazz Quintet
311, New York,New York City,Big Apple Jump,Art Blakey
312, New York,New York City,Big Apple Noise,TransLux
313, New York,New York City,Big Apple Rappin' (National Rappin' Anthem),SpyderD
314, New York,New York City,Big Apple Rock,Black Ivory
315, New York,New York City,Big Apple Sister,Roland Hanna
316, New York,New York City,Big Apple Waltz,Sweet
317, New York,New York City,The Big Backyard,(Up in Central Park)  Sigmund Romberg
318, New York,New York City,Big Bad Rap!,Age Of Chance
319, New York,New York City,Biggest Bordertown,Bob Neuwirth
320, New York,New York City,The Big Brass Band from Brazil,Art Mooney & His Orchestra
321, New York,New York City,Big City,Dead Boys
322, New York,New York City,Big Man on Mulberry Street,Billy Joel
323, New York,New York City,Big Mouth,Whodini
324, New York,New York City,Big New York,Chuck Jackson
325, New York,New York City,Big Noise New York,Donald Fagen
326, New York,New York City,The Big Sound On Broadway,Sid Ramin
327, New York,New York City,Big Town,OMD
328, New York,New York City,The Big Thing (In The Real Apple),The Real Thing Featuring Lew Soloff
329, New York,New York City,Big Yellow Taxi,Blue System
330, New York,New York City,The Bird of Bleecker Street,Village Stompers
331, New York,New York City,Bird Of Harlem,Jess Roden
332, New York,New York City,Birdland,Charlie Ventura & His Band
333, New York,New York City,Birdland,Erroll Garner & Stan Getz
334, New York,New York City,Birdland,Weather Report
335, New York,New York City,Birdland Blues,Bud Powell
336, New York,New York City,Birdland Bounce,John Dankworth
337, New York,New York City,Birdland Festival,Kai Winding
338, New York,New York City,Birdland Hully Gully,George Young
339, New York,New York City,Birdland Jump,Paul Quinichette
340, New York,New York City,Birdland Story,James Moody (saxophonist)
341, New York,New York City,The Birdland Twist,Beep Bottomley And His Twisters
342, New York,New York City,Bird Life In The Bronx,Raymond Scott
343, New York,New York City,A Bite of the Apple,John Davis and the Monster Orchestra
344, New York,New York City,B.K. Anthem,Foxy Brown
345, New York,New York City,Bklyn (Live That),MC Lyte
346, New York,New York City,Black & White New York,Tommy Keene
347, New York,New York City,Black Cow,"Steely Dan (Greene Street, Rudy's)"
348, New York,New York City,Black Harlem,Prince Buster
349, New York,New York City,Black Jesus † Amen Fashion,Lady Gaga
350, New York,New York City,Black History Month,Death from Above 1979 (inspired  a ride through the New York subway)
351, New York,New York City,Black Velvet Band,"The Dubliners (the Broadway this song refers to is in Belfast Northern Ireland, not New York)"
352, New York,New York City,Blackout In Manhattan,Herbie Armstrong (formerly of Fox)
353, New York,New York City,Blame It on New York City,The Dramatics
354, New York,New York City,Bleecker & MacDougal,Fred Neil
355, New York,New York City,Bleecker Street,Gamalon
356, New York,New York City,Bleecker Street,Houston Person
357, New York,New York City,Bleecker Street,Phillip Jarrell
358, New York,New York City,Bleecker Street,Simon & Garfunkel
359, New York,New York City,Bleecker Street Blues,Sal Salvador
360, New York,New York City,Bleecker Street Team,Cedar Walton
361, New York,New York City,Blondes Have More Fun,Rod Stewart
362, New York,New York City,Blood Wedding,Black 47
363, New York,New York City,Blossoms on Broadway,Martha Tilton
364, New York,New York City,Blue Belles O' Harlem (The Belles Of Harlem),Duke Ellington
365, New York,New York City,The Blue Bells of Broadway (Are Ringing Tonight),Doris Day
366, New York,New York City,Blue Bowery,Clifford Grey and Harold Adamson
367, New York,New York City,Blue Harlem,Ike Quebec
368, New York,New York City,Blue Harlem,Kenyon Hopkins
369, New York,New York City,Blue Monday (135th Street),George Gershwin
370, New York,New York City,Blue Moon Over Brooklyn,Peter Criss
371, New York,New York City,The Blues About Manhattan,Harry James
372, New York,New York City,Blues at the Five Spot,Oliver Nelson
373, New York,New York City,Blues for 52nd Street,Archie Shepp & Mal Waldron
374, New York,New York City,Blues For Birdland,Johnny Smith
375, New York,New York City,The Blues (Lenox Avenue Suite),Artie Shaw
376, New York,New York City,Bob Dylan's 115th Dream,Bob Dylan
377, New York,New York City,Bobo The Bowery Barber,Johnny Guarnieri
378, New York,New York City,Body of an American,The Pogues
379, New York,New York City,Bojangles of Harlem,(from the musical Swing Time)
380, New York,New York City,Bolero At The Savoy,Gene Krupa
381, New York,New York City,Bon Bon Vie (Gimme the Good Life),T. S. Monk
382, New York,New York City,Bond Street,Sonny Vincent
383, New York,New York City,Bone to Bone (Coney Island White Fish Boy),Aerosmith
384, New York,New York City,Bonnie Taylor Shakedown,Hellogoode
385, New York,New York City,Boogaloo Down Broadway,Paul Revere And The Raiders
386, New York,New York City,Boogie Down Broadway,Canyon
387, New York,New York City,Boogie Down Bronx,Man Parrish
388, New York,New York City,Born and Bred in Brooklyn,Bob Haring
389, New York,New York City,Born In Brooklyn,The Aquatones
390, New York,New York City,Born in New York,Papoose
391, New York,New York City,Born This Way!,By Cookie Crew
392, New York,New York City,Borough Check,Digable Planets
393, New York,New York City,Borrowed Love,The KLF
394, New York,New York City,Bossa Nova in Broadway,Azymuth
395, New York,New York City,Bossa Nova York,Lionel Hampton & His New York Octet
396, New York,New York City,Boston Post Road,(music  Joseph Meyer (songwriter) and Roger Wolfe Kahn; lyrics  Irving Caesar)
397, New York,New York City,The Boston Rag,Steely Dan
398, New York,New York City,Boulevardier from the Bronx,(from the musical Colleen)
399, New York,New York City,The Bowery,(from the musical A Trip to Chinatown)
400, New York,New York City,The Bowery,Exuma
401, New York,New York City,Bowery,Local Natives
402, New York,New York City,Bowery,Smog
403, New York,New York City,The Bowery,"Vincent Youmans, Clifford Grey and Harold Adamson"
404, New York,New York City,Bowery Avenue,Tim Rose
405, New York,New York City,Bowery Blues,Lydia Lunch
406, New York,New York City,Bowery Buck,Tom Turpin
407, New York,New York City,The Bowery Bums,"""Hobo"" Jack Turner (Ernie Hare)"
408, New York,New York City,The Bowery Electric,Jed Davis
409, New York,New York City,The Bowery Grenadiers,Mitch Miller
410, New York,New York City,Bowery Mood,Vladimir Cosma
411, New York,New York City,"Bowery, New York City",East Side Band
412, New York,New York City,The Bowery Of Today,music  Sigmund Romberg; lyrics  Harold Atteridge
413, New York,New York City,Box #10,Jim Croce
414, New York,New York City,The Boxer,Simon & Garfunkel
415, New York,New York City,The Boy from New York City,The Ad Libs
416, New York,New York City,The Boy Looked at Johnny,The Libertines
417, New York,New York City,The Boys from Harlem,Cootie Williams
418, New York,New York City,Boys in the City,NRBQ
419, New York,New York City,The Brave Old City of New York,Helen Miller (songwriter) and Eve Merriam
420, New York,New York City,Breakdown New York Style,Dwayne Omarr
421, New York,New York City,Breakfast at Tiffany's,Henry Mancini
422, New York,New York City,Breakfast in Central Park,Dilana Smith
423, New York,New York City,Breakfast in Harlem,Buck Washington & John W. Bubbles
424, New York,New York City,Breakfast in New York,Jill Johnson
425, New York,New York City,Breakfast in NYC,Oppenheimer
426, New York,New York City,Breakdown New York Style,Rusty The Toejammer
427, New York,New York City,Breakin' Up,Rilo Kiley
428, New York,New York City,The Bridge,MC Shan
429, New York,New York City,Bridge & Tunnel,The Honorary Title
430, New York,New York City,The Bridge Is Over,Boogie Down Productions
431, New York,New York City,Bridge To Manhattan,Hot Tip
432, New York,New York City,Brief Uit New York,"Mylène d'Anjou, Frans van Deursen, Vera Mann"
433, New York,New York City,Bright Lights,Matchbox Twenty
434, New York,New York City,Bright Lights Bigger City,Cee Lo Green
435, New York,New York City,The Brighton Beach Rag,from 'The Girl From Brighton'  L. Wolfe Gilbert
436, New York,New York City,Brill Bruisers,New Pornographers
437, New York,New York City,Brill Building,Sic Alps
438, New York,New York City,Bristol Hotel,LL Cool J
439, New York,New York City,BroadShouldered Beasts,Mumford & Sons
440, New York,New York City,Broad Street Pressure,Boyd Jarvis
441, New York,New York City,Broadway,Alison Krauss
442, New York,New York City,Broadway,Alvin Connel (reggae)
443, New York,New York City,Broadway,Bill Pritchard
444, New York,New York City,Broadway,Candido
445, New York,New York City,Broadway,The Clash
446, New York,New York City,Broadway,Clem Curtis and The Foundations
447, New York,New York City,Broadway,Count Basie
448, New York,New York City,Broadway,Darcy DeSylvia
449, New York,New York City,Broadway,Dexter Gordon
450, New York,New York City,Broadway,Duke Bootee
451, New York,New York City,Broadway,Freddie Cannon
452, New York,New York City,Broadway,Gunter Hampel & His Galaxie Dream Band
453, New York,New York City,Broadway,Guy Marchand
454, New York,New York City,Broadway,(from the musical Gypsy: A Musical Fable)
455, New York,New York City,Broadway,Hank Ballard
456, New York,New York City,Broadway,Ian Hunter
457, New York,New York City,Broadway,Jennifer Damiano
458, New York,New York City,Broadway,Jim Diamond
459, New York,New York City,Broadway,Jimmy McGriff
460, New York,New York City,Broadway,Kool & the Gang
461, New York,New York City,Broadway,Lee Fardon
462, New York,New York City,Broadway,Lee Konitz
463, New York,New York City,Broadway,Mel Torme
464, New York,New York City,Broadway,Nicoletta (singer)
465, New York,New York City,Broadway,Novecento (group)
466, New York,New York City,Broadway,Old 97s
467, New York,New York City,Broadway,Panama
468, New York,New York City,Broadway,Phylicia Allen
469, New York,New York City,Broadway' music  Ray Henderson; lyrics  Buddy DeSylva and Lew Brown,
470, New York,New York City,Broadway,Ray Starita And His Ambassadors Band
471, New York,New York City,Broadway,Regal Dance Orchestra
472, New York,New York City,Broadway,Renee Pryor
473, New York,New York City,Broadway,Rocky Roberts
474, New York,New York City,Broadway,Shaggy & Barrington Levy
475, New York,New York City,Broadway,Tiffany
476, New York,New York City,Broadway,Tiger & Tinga Stewart
477, New York,New York City,Broadway,Yellowstone & Voice
478, New York,New York City,Broadway – 4 A.M.,Babs Gonzales
479, New York,New York City,Broadway Ain't Funky No More,The Dynatones
480, New York,New York City,Broadway and 10th,Robert Freeman (musician)
481, New York,New York City,Broadway at Basin Street,Cannonball Adderley
482, New York,New York City,Broadway Babe,Mercer Ellington & His Orchestra
483, New York,New York City,Broadway Ba,Stephen Sondheim
484, New York,New York City,Broadway Ba Dolls,Golden Gate Orchestra (an alias of the California Ramblers)
485, New York,New York City,Broadway Ballet (Broadway Rhythm),Gene Kelly
486, New York,New York City,Broadway Beat,Charlie Singleton And All Stars
487, New York,New York City,Broadway Belles,from George White's Scandals of 1919
488, New York,New York City,Broadway Blossom,(from the musical Billion Dollar Ba)
